City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Isangel,VU,-19.55,169.2667,68.29,79,85,9.51,overcast clouds
80,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,64,0,18.41,clear sky
81,Mushie,CD,-3.0167,16.9,80.92,60,55,2.37,broken clouds
82,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,90,19.57,light snow
83,Kumi,KR,36.1136,128.336,65.88,91,72,2.57,broken clouds
84,Dikson,RU,73.5069,80.5464,36.61,86,98,17.18,overcast clouds
85,Ishigaki,JP,24.3448,124.1572,83.03,78,47,13.09,scattered clouds
86,Carnarvon,AU,-24.8667,113.6333,66.27,77,40,8.05,scattered clouds
87,Alcantara,BR,-2.4089,-44.4147,91.6,60,76,13.56,broken clouds
88,Vostok,RU,46.4856,135.8833,45.82,74,100,3.2,overcast clouds
89,Kapuskasing,CA,49.4169,-82.4331,50.09,87,90,10.36,overcast clouds
90,Asheville,US,35.6009,-82.554,72.18,58,1,1.99,clear sky
91,Damietta,EG,31.4165,31.8133,76.89,60,0,10.74,clear sky
92,Saint-Philippe,RE,-21.3585,55.7679,71.19,81,65,12.46,broken clouds
93,Karratha,AU,-20.7377,116.8463,70.66,47,0,13.04,clear sky
94,Ambilobe,MG,-13.2,49.05,72.03,60,46,6.69,scattered clouds
95,Geraldton,AU,-28.7667,114.6,61.12,88,90,5.75,overcast clouds
96,Alice Springs,AU,-23.7,133.8833,60.35,21,16,6.91,few clouds
97,Bambous Virieux,MU,-20.3428,57.7575,72.21,83,40,13.8,light rain
98,Kerrville,US,30.0474,-99.1403,83.55,49,1,1.99,clear sky
99,Yining,CN,29.0361,114.5636,77.94,80,63,2.04,light rain
100,Bonthe,SL,7.5264,-12.505,81.72,73,93,6.87,overcast clouds
101,Clyde River,CA,70.4692,-68.5914,32.23,80,75,0.0,broken clouds
102,Loikaw,MM,19.6742,97.2094,67.6,97,95,2.15,overcast clouds
103,Berlevag,NO,70.8578,29.0864,44.6,85,99,9.62,light rain
104,Dunedin,NZ,-45.8742,170.5036,42.8,66,79,1.01,broken clouds
105,Macas,EC,-2.3167,-78.1167,71.06,90,96,0.65,light rain
106,Dolzhanskaya,RU,46.6311,37.8039,54.91,61,70,17.31,broken clouds
107,Vaini,TO,-21.2,-175.2,68.16,77,75,4.61,broken clouds
108,Atuona,PF,-9.8,-139.0333,78.17,78,29,20.33,scattered clouds
109,Whitehorse,CA,60.7161,-135.0538,37.09,80,20,3.0,few clouds
110,Karibib,NA,-21.9333,15.8333,77.67,20,3,8.95,clear sky
111,Paramonga,PE,-10.6667,-77.8333,67.32,74,64,11.21,broken clouds
112,Calvinia,ZA,-31.4707,19.776,63.79,28,81,5.82,broken clouds
113,Boda,CF,4.3189,17.4695,71.46,92,100,2.19,overcast clouds
114,Terbuny,RU,52.1389,38.2789,50.76,73,100,10.45,overcast clouds
115,Praia Da Vitoria,PT,38.7333,-27.0667,73.65,83,75,17.22,broken clouds
116,Ilulissat,GL,69.2167,-51.1,24.82,54,75,5.75,broken clouds
117,Nikolskoye,RU,59.7035,30.7861,49.89,92,100,8.72,overcast clouds
118,Katsuura,JP,35.1333,140.3,71.19,68,100,14.18,overcast clouds
119,Lakatoro,VU,-16.0999,167.4164,75.7,87,70,10.36,broken clouds
120,Bengkulu,ID,-3.8004,102.2655,76.41,91,100,5.01,overcast clouds
121,Comodoro Rivadavia,AR,-45.8667,-67.5,67.86,28,0,23.02,clear sky
122,Nizhyn,UA,51.048,31.8869,55.02,86,100,13.94,overcast clouds
123,Tuy Hoa,VN,13.0833,109.3,76.21,91,100,1.72,overcast clouds
124,Broome,US,42.2506,-75.833,74.01,57,1,1.01,clear sky
125,Atambua,ID,-9.1061,124.8925,71.83,85,40,3.22,scattered clouds
126,Guerrero Negro,MX,27.9769,-114.0611,74.48,67,79,12.08,broken clouds
127,Saskylakh,RU,71.9167,114.0833,30.16,93,86,15.7,overcast clouds
128,Chadiza,ZM,-14.0678,32.4392,79.3,26,83,10.56,broken clouds
129,Byron Bay,AU,-28.65,153.6167,66.15,78,41,12.75,scattered clouds
130,San Luis,AR,-33.295,-66.3356,82.33,19,0,12.08,clear sky
131,Parad,HU,47.9232,20.0297,62.64,64,8,1.16,clear sky
132,Cidreira,BR,-30.1811,-50.2056,65.61,72,18,7.9,few clouds
133,Luderitz,NA,-26.6481,15.1594,62.58,60,27,17.6,scattered clouds
134,Kavaratti,IN,10.5669,72.642,81.84,79,77,15.95,broken clouds
135,Cervo,ES,43.6702,-7.4101,70.2,79,83,5.21,broken clouds
136,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,86,99,13.24,overcast clouds
137,Kulhudhuffushi,MV,6.6221,73.07,82.13,78,100,20.85,overcast clouds
138,Caravelas,BR,-17.7125,-39.2481,76.78,54,3,10.02,clear sky
139,Airai,TL,-8.9266,125.4092,58.6,92,77,2.01,broken clouds
140,Virginia Beach,US,36.8529,-75.978,78.04,57,2,7.14,clear sky
141,Kilindoni,TZ,-7.9139,39.6668,77.13,75,1,16.98,clear sky
142,Lebu,CL,-37.6167,-73.65,52.12,86,91,6.49,overcast clouds
143,Leh,IN,34.1667,77.5833,55.31,41,33,3.98,scattered clouds
144,Bettiah,IN,26.8,84.5,82.02,73,86,4.94,overcast clouds
145,Puerto Madryn,AR,-42.7692,-65.0385,79.02,24,45,19.98,scattered clouds
146,Salalah,OM,17.0151,54.0924,82.49,83,0,3.44,clear sky
147,Nova Venecia,BR,-18.7106,-40.4006,84.6,35,51,10.83,broken clouds
148,Mersing,MY,2.4312,103.8405,75.11,88,79,8.05,moderate rain
149,Saint George,US,37.1041,-113.5841,91.35,20,1,4.61,clear sky
150,Kavieng,PG,-2.5744,150.7967,82.24,77,26,15.82,scattered clouds
151,Saint-Augustin,CA,51.226,-58.6502,51.12,97,100,10.54,overcast clouds
152,Mahebourg,MU,-20.4081,57.7,72.25,83,40,13.8,light rain
153,Hofn,IS,64.2539,-15.2082,40.23,76,100,15.86,moderate rain
154,Victoria,HK,22.2855,114.1577,85.24,77,8,8.99,light rain
155,Nizhnyaya Tavda,RU,57.6731,66.1725,36.72,79,6,8.86,clear sky
156,Benghazi,LY,32.1167,20.0667,75.36,59,2,14.83,clear sky
157,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,40,13.8,scattered clouds
158,Senador Guiomard,BR,-10.1522,-67.7392,89.35,19,15,1.9,few clouds
159,Chuy,UY,-33.6971,-53.4616,63.7,81,52,10.63,broken clouds
160,Bahadurgarh,IN,28.6833,76.9167,80.71,63,57,5.44,light rain
161,Lungani,RO,47.1833,27.15,64.31,64,18,2.24,light rain
162,Xining,CN,36.6167,101.7667,56.61,77,100,2.98,overcast clouds
163,Kutum,SD,14.2,24.6667,82.53,27,98,8.34,overcast clouds
164,Nanortalik,GL,60.1432,-45.2371,38.93,72,0,11.34,clear sky
165,Midland,US,31.9974,-102.0779,84.06,30,1,5.75,clear sky
166,Huntington,US,38.4193,-82.4452,73.38,69,90,9.22,light rain
167,Harwich,GB,51.9419,1.2844,69.33,87,100,4.0,overcast clouds
168,Upernavik,GL,72.7868,-56.1549,22.82,71,6,5.7,clear sky
169,Urengoy,RU,65.9667,78.3667,32.02,84,7,6.87,clear sky
