City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Talnakh,RU,2021-09-23 01:21:57,69.4865,88.3972,31.78,82,53,5.37
68,Saskylakh,RU,2021-09-23 01:18:23,71.9167,114.0833,34.86,99,100,3.74
69,Hillsborough,US,2021-09-23 01:19:01,37.5741,-122.3794,88.83,69,20,14.97
70,Upernavik,GL,2021-09-23 01:18:06,72.7868,-56.1549,21.99,85,99,5.06
71,Umm Lajj,SA,2021-09-23 01:21:59,25.0213,37.2685,83.19,68,1,6.4
72,Tuatapere,NZ,2021-09-23 01:21:59,-46.1333,167.6833,56.82,58,86,2.1
73,Tynne,UA,2021-09-23 01:22:00,50.6015,26.1849,43.75,94,100,8.81
74,Kununurra,AU,2021-09-23 01:22:01,-15.7667,128.7333,78.78,11,5,14.97
75,Georgetown,MY,2021-09-23 01:19:24,5.4112,100.3354,82.89,76,20,3.44
76,Lata,PT,2021-09-23 01:19:36,40.1629,-8.3327,64.81,83,100,4.54
77,Mansa,IN,2021-09-23 01:22:02,29.9833,75.3833,74.79,94,100,4.65
78,Korla,CN,2021-09-23 01:22:02,41.7597,86.1469,65.34,32,98,12.17
79,Merauke,ID,2021-09-23 01:22:03,-8.4667,140.3333,78.89,81,99,15.19
80,Thompson,CA,2021-09-23 01:22:03,55.7435,-97.8558,55.56,88,90,2.3
81,Codrington,AU,2021-09-23 01:22:04,-38.2667,141.9667,62.49,55,0,16.08
82,Massakory,TD,2021-09-23 01:22:05,12.996,15.7293,78.55,65,93,5.66
83,Saint George,US,2021-09-23 01:22:06,37.1041,-113.5841,90.63,12,1,3.0
84,Yellowknife,CA,2021-09-23 01:22:06,62.456,-114.3525,50.52,81,90,3.44
85,Romny,UA,2021-09-23 01:22:07,50.751,33.4747,43.02,95,100,5.28
86,Namibe,AO,2021-09-23 01:22:07,-15.1961,12.1522,62.15,90,13,4.25
87,Bethel,US,2021-09-23 01:20:24,41.3712,-73.414,74.98,90,100,8.59
88,Grindavik,IS,2021-09-23 01:22:08,63.8424,-22.4338,39.67,81,75,8.05
89,Bluff,NZ,2021-09-23 01:17:58,-46.6,168.3333,57.79,73,79,8.97
90,Yulara,AU,2021-09-23 01:22:09,-25.2406,130.9889,66.04,20,7,14.97
91,Boguchany,RU,2021-09-23 01:22:09,58.3814,97.4531,32.74,90,100,1.97
92,San Javier,ES,2021-09-23 01:22:09,37.8063,-0.8374,73.24,75,40,3.0
93,Souillac,MU,2021-09-23 01:22:10,-20.5167,57.5167,70.18,78,75,10.36
94,Batagay-Alyta,RU,2021-09-23 01:17:19,67.8006,130.4114,35.83,87,85,2.08
95,Mersing,MY,2021-09-23 01:22:11,2.4312,103.8405,78.71,89,40,3.44
96,Rawson,AR,2021-09-23 01:22:11,-43.3002,-65.1023,62.1,36,6,11.74
97,Sitka,US,2021-09-23 01:22:12,57.0531,-135.33,51.69,58,90,8.05
98,Launceston,AU,2021-09-23 01:22:13,-41.45,147.1667,58.64,76,90,5.99
99,Acapulco,MX,2021-09-23 01:22:13,16.8634,-99.8901,84.02,84,75,6.91
100,Esperance,AU,2021-09-23 01:18:52,-33.8667,121.9,62.06,72,8,8.5
101,Ixtapa,MX,2021-09-23 01:18:15,20.7,-105.2,84.22,89,75,6.91
102,Barrow,US,2021-09-23 01:22:14,71.2906,-156.7887,32.02,69,90,16.11
103,Magdagachi,RU,2021-09-23 01:22:15,53.45,125.8,52.07,53,31,4.56
104,Faanui,PF,2021-09-23 01:22:15,-16.4833,-151.75,77.2,73,12,10.27
105,Muros,ES,2021-09-23 01:19:04,42.7762,-9.0603,62.83,76,5,13.38
106,Lucapa,AO,2021-09-23 01:22:16,-8.4192,20.7447,70.05,52,100,1.72
107,Saint-Louis,SN,2021-09-23 01:22:16,16.3333,-15.0,85.96,47,100,12.91
108,Castro,BR,2021-09-23 01:22:17,-24.7911,-50.0119,48.06,89,95,9.57
109,Bengkulu,ID,2021-09-23 01:22:17,-3.8004,102.2655,76.87,89,64,2.39
