City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Bahadurgarh,IN,80.71,light rain,28.6833,76.9167,EMM KAY RESIDENCY
163,Kutum,SD,82.53,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
166,Huntington,US,73.38,light rain,38.4193,-82.4452,Ramada Limited Huntington
167,Harwich,GB,69.33,overcast clouds,51.9419,1.2844,Premier Inn Harwich hotel
170,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
171,Gondanglegi,ID,75.51,scattered clouds,-7.7479,112.0132,Ndoll Gondanglegi
172,Marang,MY,76.93,overcast clouds,5.2056,103.2059,DBarakah Homestay
177,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
179,Sarakhs,IR,80.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
180,Porbandar,IN,80.13,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
181,Kisangani,CD,72.63,scattered clouds,0.5167,25.2,Grand Ramela Hotel
185,Kampli,IN,75.76,light rain,15.4,76.6167,Government Hostel Kampli
186,Ugoofaaru,MV,82.53,overcast clouds,5.6667,73.0,Ungoofaaru Inn
187,Awjilah,LY,77.4,clear sky,29.1081,21.2869,
195,Kemalpasa,TR,73.71,clear sky,38.4262,27.4173,Kemalpaşa Öğretmen Evi
196,Samarai,PG,78.24,scattered clouds,-10.6167,150.6667,Nuli Sapi
199,Richards Bay,ZA,71.74,few clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
200,Carson City,US,79.05,clear sky,39.1638,-119.7674,Courtyard by Marriott Carson City
202,Sao Filipe,CV,78.53,broken clouds,14.8961,-24.4956,Hotel Xaguate
205,Gilgit,PK,77.11,clear sky,35.9221,74.3087,Tourist Hamlet Gilgit
208,Grand Gaube,MU,72.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
210,Hilo,US,77.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
212,Makakilo City,US,73.62,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
214,Boyolangu,ID,75.16,broken clouds,-8.1181,111.8935,Yos ega cv
217,Lorengau,PG,81.46,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
221,Isiolo,KE,71.58,overcast clouds,0.3546,37.5822,Gaddisa Hotel
224,Balikpapan,ID,76.75,overcast clouds,-1.2675,116.8289,ibis Balikpapan
225,Dingle,PH,76.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
229,Ponta Do Sol,PT,75.83,overcast clouds,32.6667,-17.1,Hotel do Campo
230,Madras,IN,82.38,moderate rain,13.0878,80.2785,City home
231,Rawson,AR,80.17,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
232,Fernley,US,78.8,clear sky,39.608,-119.2518,Super 8 by Wyndham Fernley
234,Fare,PF,77.81,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
237,Beloha,MG,72.37,clear sky,-25.1667,45.05,
238,Platanos,GR,74.08,clear sky,37.6667,21.6167,Hotel Kronio
239,Sambava,MG,73.4,clear sky,-14.2667,50.1667,Melrose
240,Abnub,EG,80.82,clear sky,27.2696,31.1511,Romany Adly Gad
241,Gillette,US,77.92,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
242,Lukuledi,TZ,76.75,broken clouds,-10.5667,38.8,
248,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
250,Meulaboh,ID,78.39,moderate rain,4.1363,96.1285,Kost Pria
252,Bethel,US,76.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
254,Metro,ID,75.52,scattered clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
259,Abha,SA,73.65,clear sky,18.2164,42.5053,Abha Hotel
260,Sussex,US,75.97,clear sky,41.1834,-74.6663,Top O Hill Farm - McDougals
261,Castro,BR,72.82,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
263,Nara,JP,72.68,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
267,Odweyne,SO,78.42,broken clouds,9.4092,45.064,Eng Hiirey House
270,Malumfashi,NG,79.38,broken clouds,11.7853,7.6218,INFINITY CYBER CAFE MALUMFASHI
271,Eyl,SO,78.01,broken clouds,7.9803,49.8164,Amiin Hotel
277,San Nicolas,PH,79.38,few clouds,18.1725,120.5953,NORTHVIEW Hotel
278,Carballo,ES,69.49,broken clouds,43.213,-8.691,Pazo do Souto
280,Grants,US,71.83,clear sky,35.1473,-107.8514,"Motel 6 Grants, NM"
281,Srandakan,ID,77.31,overcast clouds,-7.9386,110.2506,Puri Brata
282,Adre,TD,82.06,broken clouds,13.4667,22.2,
285,Deqing,CN,73.36,light rain,30.5448,119.9599,Narada Boutique Hotel Huzhou Deqing
286,Orangeburg,US,78.94,clear sky,33.4918,-80.8557,Palmetto Inn & Suites
288,Sao Francisco De Assis,BR,71.13,clear sky,-29.5503,-55.1311,Hotel Aguiar
290,Souillac,MU,72.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
302,Namatanai,PG,78.85,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
303,Rio Grande,BR,69.91,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
306,Pandan,PH,80.8,overcast clouds,14.0453,124.1694,Bonifacio Lodge
310,Kaka,TM,81.52,clear sky,37.3482,59.6143,
312,Baker City,US,72.64,clear sky,44.7749,-117.8344,Bridge Street Inn
314,Rangia,IN,80.55,clear sky,26.4667,91.6333,Kalita Tours & Travels - Travel Services in North East India
321,Manokwari,ID,77.76,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
